"","SpeciesID","ScientificName","TSNID","CommonName","Rank","Taxon","Nonnative","Occurrences","nSites","ModelNorth","ModelSouth","LinkHabitat","LinkSpclim","AUCSpclimNorth","AUCVegHFNorth","AUCVegHFSpclimNorth","AUCSpclimSouth","AUCVegHFSouth","AUCVegHFSpclimSouth","Bootstrap","Threshold"
"BlueheadedVireo","BlueheadedVireo","Vireo solitarius",179010,"Blue-headed Vireo","Species","Birds",NA,5532,NA,TRUE,FALSE,"log","log",NA,NA,0.740934795,NA,NA,NA,85,0.995
"BlackburnianWarbler","BlackburnianWarbler","Setophaga fusca",99001403,"Blackburnian Warbler","Species","Birds",NA,165,NA,TRUE,FALSE,"log","log",NA,NA,0.90516054,NA,NA,NA,37,0.999
"BlueJay","BlueJay","Cyanocitta cristata",179680,"Blue Jay","Species","Birds",NA,1844,NA,TRUE,FALSE,"log","log",NA,NA,0.762422512,NA,NA,NA,91,0.995
"BlackpollWarbler","BlackpollWarbler","Setophaga striata",99001405,"Blackpoll Warbler","Species","Birds",NA,833,NA,TRUE,FALSE,"log","log",NA,NA,0.813987399,NA,NA,NA,37,0.99
"BorealChickadee","BorealChickadee","Poecile hudsonicus",554386,"Boreal Chickadee","Species","Birds",NA,3263,NA,TRUE,FALSE,"log","log",NA,NA,0.784530718,NA,NA,NA,62,0.995
"BrewersBlackbird","BrewersBlackbird","Euphagus cyanocephalus",179094,"Brewer's Blackbird","Species","Birds",NA,12605,NA,TRUE,TRUE,"log","log",NA,NA,0.883397812,NA,NA,0.6584055,7,0.995
"BrownCreeper","BrownCreeper","Certhia americana",99002654,"Brown Creeper","Species","Birds",NA,3886,NA,TRUE,FALSE,"log","log",NA,NA,0.855423524,NA,NA,NA,68,0.995
"BlackthroatedGreenWarbler","BlackthroatedGreenWarbler","Setophaga virens",99001402,"Black-throated Green Warbler","Species","Birds",NA,5950,NA,TRUE,FALSE,"log","log",NA,NA,0.899667679,NA,NA,NA,6,0.99
"CanadaJay","CanadaJay","Perisoreus canadensis",179667,"Canada Jay","Species","Birds",NA,14363,NA,TRUE,FALSE,"log","log",NA,NA,0.770680187,NA,NA,NA,69,0.995
"CanadaWarbler","CanadaWarbler","Cardellina canadensis",99001416,"Canada Warbler","Species","Birds",NA,2326,NA,TRUE,FALSE,"log","log",NA,NA,0.860400826,NA,NA,NA,22,0.995
"ClaycoloredSparrow","ClaycoloredSparrow","Spizella pallida",99007645,"Clay-colored Sparrow","Species","Birds",NA,45788,NA,TRUE,TRUE,"log","log",NA,NA,0.878194043,NA,NA,0.639658378,80,0.995
"CedarWaxwing","CedarWaxwing","Bombycilla cedrorum",178532,"Cedar Waxwing","Species","Birds",NA,6446,NA,TRUE,TRUE,"log","log",NA,NA,0.683667217,NA,NA,0.787079857,77,0.99
"ChippingSparrow","ChippingSparrow","Spizella passerina",99007646,"Chipping Sparrow","Species","Birds",NA,39831,NA,TRUE,TRUE,"log","log",NA,NA,0.692334131,NA,NA,0.800999482,29,0.995
"CapeMayWarbler","CapeMayWarbler","Setophaga tigrina",99001400,"Cape May Warbler","Species","Birds",NA,2229,NA,TRUE,FALSE,"log","log",NA,NA,0.876200754,NA,NA,NA,24,0.99
"CommonNighthawk","CommonNighthawk","Chordeiles minor",99002659,"Common Nighthawk","Species","Birds",NA,635,NA,TRUE,TRUE,"log","log",NA,NA,0.821805486,NA,NA,0.871279076,25,0.995
"ConnecticutWarbler","ConnecticutWarbler","Oporornis agilis",178938,"Connecticut Warbler","Species","Birds",NA,6554,NA,TRUE,FALSE,"log","log",NA,NA,0.81860161,NA,NA,NA,69,0.995
"CommonRaven","CommonRaven","Corvus corax",179725,"Common Raven","Species","Birds",NA,14899,NA,TRUE,TRUE,"log","log",NA,NA,0.607836443,NA,NA,0.677601368,48,0.995
"CommonYellowthroat","CommonYellowthroat","Geothlypis trichas",178944,"Common Yellowthroat","Species","Birds",NA,12501,NA,TRUE,TRUE,"log","log",NA,NA,0.793674024,NA,NA,0.78995016,33,0.995
"ChestnutsidedWarbler","ChestnutsidedWarbler","Setophaga pensylvanica",99001430,"Chestnut-sided Warbler","Species","Birds",NA,186,NA,TRUE,FALSE,"log","log",NA,NA,0.953936543,NA,NA,NA,34,0.995
"DarkeyedJunco","DarkeyedJunco","Junco hyemalis",99007663,"Dark-eyed Junco","Species","Birds",NA,18685,NA,TRUE,FALSE,"log","log",NA,NA,0.792112373,NA,NA,NA,96,0.995
"DownyWoodpecker","DownyWoodpecker","Dryobates pubescens",99007685,"Downy Woodpecker","Species","Birds",NA,1202,NA,TRUE,TRUE,"log","log",NA,NA,0.7126103,NA,NA,0.82050362,48,0.995
"EasternKingbird","EasternKingbird","Tyrannus tyrannus",99003093,"Eastern Kingbird","Species","Birds",NA,4876,NA,TRUE,TRUE,"log","log",NA,NA,0.874100144,NA,NA,0.688088051,62,0.995
"EasternPhoebe","EasternPhoebe","Sayornis phoebe",99002618,"Eastern Phoebe","Species","Birds",NA,947,NA,TRUE,TRUE,"log","log",NA,NA,0.824058697,NA,NA,0.792408026,91,0.99
"EuropeanStarling","EuropeanStarling","Sturnus vulgaris",179637,"European Starling","Species","Birds",NA,10162,NA,TRUE,TRUE,"log","log",NA,NA,0.932442739,NA,NA,0.732936833,32,0.995
"EveningGrosbeak","EveningGrosbeak","Coccothraustes vespertinus",179173,"Evening Grosbeak","Species","Birds",NA,730,NA,TRUE,FALSE,"log","log",NA,NA,0.775929609,NA,NA,NA,85,0.995
"FoxSparrow","FoxSparrow","Passerella iliaca",99007672,"Fox Sparrow","Species","Birds",NA,1346,NA,TRUE,FALSE,"log","log",NA,NA,0.870700855,NA,NA,NA,4,0.995
"GoldencrownedKinglet","GoldencrownedKinglet","Regulus satrapa",179865,"Golden-crowned Kinglet","Species","Birds",NA,4813,NA,TRUE,FALSE,"log","log",NA,NA,0.843732172,NA,NA,NA,43,0.995
"GrayCatbird","GrayCatbird","Dumetella carolinensis",178625,"Gray Catbird","Species","Birds",NA,1160,NA,TRUE,TRUE,"log","log",NA,NA,0.892944741,NA,NA,0.749675294,31,0.995
"GreaterYellowlegs","GreaterYellowlegs","Tringa melanoleuca",99002632,"Greater Yellowlegs","Species","Birds",NA,2700,NA,TRUE,FALSE,"log","log",NA,NA,0.866022264,NA,NA,NA,82,0.995
"HairyWoodpecker","HairyWoodpecker","Dryobates villosus",99007684,"Hairy Woodpecker","Species","Birds",NA,2537,NA,TRUE,FALSE,"log","log",NA,NA,0.663364346,NA,NA,NA,2,0.995
"HermitThrush","HermitThrush","Catharus guttatus",179779,"Hermit Thrush","Species","Birds",NA,21922,NA,TRUE,FALSE,"log","log",NA,NA,0.786357367,NA,NA,NA,66,0.995
"HornedLark","HornedLark","Eremophila alpestris",554256,"Horned Lark","Species","Birds",NA,16968,NA,TRUE,TRUE,"log","log",NA,NA,0.973062042,NA,NA,0.906321992,22,0.995
"HouseSparrow","HouseSparrow","Passer domesticus",179628,"House Sparrow","Species","Birds",NA,7355,NA,TRUE,TRUE,"log","log",NA,NA,0.930231503,NA,NA,0.828421122,6,0.99
"HouseWren","HouseWren","Troglodytes aedon",178541,"House Wren","Species","Birds",NA,21730,NA,TRUE,TRUE,"log","log",NA,NA,0.901298563,NA,NA,0.759103147,66,0.995
"Killdeer","Killdeer","Charadrius vociferus",99003106,"Killdeer","Species","Birds",NA,6764,NA,TRUE,TRUE,"log","log",NA,NA,0.835268994,NA,NA,0.675843528,47,0.995
"LeastFlycatcher","LeastFlycatcher","Empidonax minimus",99002624,"Least Flycatcher","Species","Birds",NA,19723,NA,TRUE,TRUE,"log","log",NA,NA,0.750814718,NA,NA,0.792597047,2,0.995
"LincolnsSparrow","LincolnsSparrow","Melospiza lincolnii",99007667,"Lincoln's Sparrow","Species","Birds",NA,26022,NA,TRUE,TRUE,"log","log",NA,NA,0.765971805,NA,NA,0.843094455,18,0.995
"MagnoliaWarbler","MagnoliaWarbler","Setophaga magnolia",99001399,"Magnolia Warbler","Species","Birds",NA,6088,NA,TRUE,FALSE,"log","log",NA,NA,0.789477512,NA,NA,NA,93,0.995
"MarshWren","MarshWren","Cistothorus palustris",178608,"Marsh Wren","Species","Birds",NA,868,NA,TRUE,FALSE,"log","log",NA,NA,0.861398388,NA,NA,NA,24,0.995
"MountainChickadee","MountainChickadee","Poecile gambeli",554385,"Mountain Chickadee","Species","Birds",NA,689,NA,TRUE,FALSE,"log","log",NA,NA,0.953806596,NA,NA,NA,21,0.999
"MourningDove","MourningDove","Zenaida macroura",99003101,"Mourning Dove","Species","Birds",NA,4776,NA,TRUE,TRUE,"log","log",NA,NA,0.911920852,NA,NA,0.766039873,66,0.995
"MourningWarbler","MourningWarbler","Geothlypis philadelphia",99001414,"Mourning Warbler","Species","Birds",NA,11140,NA,TRUE,FALSE,"log","log",NA,NA,0.82256642,NA,NA,NA,50,0.995
"NelsonsSparrow","NelsonsSparrow","Ammospiza nelsoni",99007657,"Nelson's Sparrow","Species","Birds",NA,505,NA,TRUE,TRUE,"log","log",NA,NA,0.885010531,NA,NA,0.74218003,73,0.995
"NorthernFlicker","NorthernFlicker","Colaptes auratus",178154,"Northern Flicker","Species","Birds",NA,5708,NA,TRUE,TRUE,"log","log",NA,NA,0.638898994,NA,NA,0.716002856,25,0.99
"NorthernWaterthrush","NorthernWaterthrush","Parkesia noveboracensis",99001337,"Northern Waterthrush","Species","Birds",NA,3428,NA,TRUE,FALSE,"log","log",NA,NA,0.754406177,NA,NA,NA,10,0.995
"OrangecrownedWarbler","OrangecrownedWarbler","Leiothlypis celata",950015,"Orange-crowned Warbler","Species","Birds",NA,4675,NA,TRUE,FALSE,"log","log",NA,NA,0.783274937,NA,NA,NA,39,0.995
"OlivesidedFlycatcher","OlivesidedFlycatcher","Contopus cooperi",99002662,"Olive-sided Flycatcher","Species","Birds",NA,2450,NA,TRUE,FALSE,"log","log",NA,NA,0.785942432,NA,NA,NA,89,0.995
"Ovenbird","Ovenbird","Seiurus aurocapilla",726205,"Ovenbird","Species","Birds",NA,38611,NA,TRUE,FALSE,"log","log",NA,NA,0.878300392,NA,NA,NA,39,0.995
"PalmWarbler","PalmWarbler","Setophaga palmarum",99001406,"Palm Warbler","Species","Birds",NA,5435,NA,TRUE,FALSE,"log","log",NA,NA,0.937066619,NA,NA,NA,53,0.995
"PhiladelphiaVireo","PhiladelphiaVireo","Vireo philadelphicus",179022,"Philadelphia Vireo","Species","Birds",NA,3295,NA,TRUE,FALSE,"log","log",NA,NA,0.794877095,NA,NA,NA,30,0.995
"PineSiskin","PineSiskin","Spinus pinus",99001434,"Pine Siskin","Species","Birds",NA,13076,NA,TRUE,FALSE,"log","log",NA,NA,0.769355263,NA,NA,NA,47,0.995
"PileatedWoodpecker","PileatedWoodpecker","Dryocopus pileatus",178166,"Pileated Woodpecker","Species","Birds",NA,2092,NA,TRUE,FALSE,"log","log",NA,NA,0.672746261,NA,NA,NA,65,0.995
"PurpleFinch","PurpleFinch","Haemorhous purpureus",99002576,"Purple Finch","Species","Birds",NA,1425,NA,TRUE,FALSE,"log","log",NA,NA,0.730461493,NA,NA,NA,61,0.99
"RosebreastedGrosbeak","RosebreastedGrosbeak","Pheucticus ludovicianus",179139,"Rose-breasted Grosbeak","Species","Birds",NA,13607,NA,TRUE,FALSE,"log","log",NA,NA,0.767262861,NA,NA,NA,73,0.995
"RedbreastedNuthatch","RedbreastedNuthatch","Sitta canadensis",99003064,"Red-breasted Nuthatch","Species","Birds",NA,11441,NA,TRUE,FALSE,"log","log",NA,NA,0.759145269,NA,NA,NA,51,0.995
"RubycrownedKinglet","RubycrownedKinglet","Corthylio calendula",99007619,"Ruby-crowned Kinglet","Species","Birds",NA,22241,NA,TRUE,FALSE,"log","log",NA,NA,0.818297068,NA,NA,NA,71,0.995
"RedeyedVireo","RedeyedVireo","Vireo olivaceus",179021,"Red-eyed Vireo","Species","Birds",NA,37330,NA,TRUE,FALSE,"log","log",NA,NA,0.799815212,NA,NA,NA,94,0.995
"RockPigeon","RockPigeon","Columba livia",99003061,"Rock Pigeon","Species","Birds",NA,3217,NA,TRUE,TRUE,"log","log",NA,NA,0.925234451,NA,NA,0.736937554,10,0.995
"RustyBlackbird","RustyBlackbird","Euphagus carolinus",179091,"Rusty Blackbird","Species","Birds",NA,573,NA,TRUE,FALSE,"log","log",NA,NA,0.90090746,NA,NA,NA,71,0.995
"RuffedGrouse","RuffedGrouse","Bonasa umbellus",175790,"Ruffed Grouse","Species","Birds",NA,5102,NA,TRUE,FALSE,"log","log",NA,NA,0.738917496,NA,NA,NA,4,0.995
"RedwingedBlackbird","RedwingedBlackbird","Agelaius phoeniceus",179045,"Red-winged Blackbird","Species","Birds",NA,36894,NA,TRUE,TRUE,"log","log",NA,NA,0.870597344,NA,NA,0.609917833,6,0.995
"SavannahSparrow","SavannahSparrow","Passerculus sandwichensis",99007670,"Savannah Sparrow","Species","Birds",NA,42188,NA,TRUE,TRUE,"log","log",NA,NA,0.927415136,NA,NA,0.679792899,23,0.995
"SedgeWren","SedgeWren","Cistothorus stellaris",99007686,"Sedge Wren","Species","Birds",NA,483,NA,TRUE,FALSE,"log","log",NA,NA,0.963224611,NA,NA,NA,14,0.995
"Sora","Sora","Porzana carolina",176242,"Sora","Species","Birds",NA,9598,NA,TRUE,TRUE,"log","log",NA,NA,0.831041952,NA,NA,0.66485721,35,0.995
"SolitarySandpiper","SolitarySandpiper","Tringa solitaria",99002631,"Solitary Sandpiper","Species","Birds",NA,1597,NA,TRUE,FALSE,"log","log",NA,NA,0.763004671,NA,NA,NA,8,0.995
"SongSparrow","SongSparrow","Melospiza melodia",99007668,"Song Sparrow","Species","Birds",NA,16334,NA,TRUE,TRUE,"log","log",NA,NA,0.879155297,NA,NA,0.80195383,17,0.99
"SpottedSandpiper","SpottedSandpiper","Actitis macularius",99002634,"Spotted Sandpiper","Species","Birds",NA,2144,NA,TRUE,TRUE,"log","log",NA,NA,0.782543547,NA,NA,0.69730934,74,0.995
"SwampSparrow","SwampSparrow","Melospiza georgiana",99007666,"Swamp Sparrow","Species","Birds",NA,6995,NA,TRUE,FALSE,"log","log",NA,NA,0.870123154,NA,NA,NA,41,0.995
"SwainsonsThrush","SwainsonsThrush","Catharus ustulatus",179788,"Swainson's Thrush","Species","Birds",NA,41819,NA,TRUE,FALSE,"log","log",NA,NA,0.752154176,NA,NA,NA,2,0.995
"TennesseeWarbler","TennesseeWarbler","Leiothlypis peregrina",950014,"Tennessee Warbler","Species","Birds",NA,43450,NA,TRUE,FALSE,"log","log",NA,NA,0.826891578,NA,NA,NA,13,0.995
"TreeSwallow","TreeSwallow","Tachycineta bicolor",99002649,"Tree Swallow","Species","Birds",NA,11946,NA,TRUE,TRUE,"log","log",NA,NA,0.847262868,NA,NA,0.705255207,24,0.995
"VariedThrush","VariedThrush","Ixoreus naevius",179773,"Varied Thrush","Species","Birds",NA,5438,NA,TRUE,FALSE,"log","log",NA,NA,0.922908823,NA,NA,NA,58,0.995
"VesperSparrow","VesperSparrow","Pooecetes gramineus",99007678,"Vesper Sparrow","Species","Birds",NA,29930,NA,TRUE,TRUE,"log","log",NA,NA,0.924646327,NA,NA,0.756554201,7,0.995
"WarblingVireo","WarblingVireo","Vireo gilvus",179023,"Warbling Vireo","Species","Birds",NA,11840,NA,TRUE,TRUE,"log","log",NA,NA,0.709850051,NA,NA,0.67388664,30,0.995
"WhitebreastedNuthatch","WhitebreastedNuthatch","Sitta carolinensis",99003065,"White-breasted Nuthatch","Species","Birds",NA,616,NA,TRUE,FALSE,"log","log",NA,NA,0.816860176,NA,NA,NA,73,0.99
"WhitecrownedSparrow","WhitecrownedSparrow","Zonotrichia leucophrys",99007650,"White-crowned Sparrow","Species","Birds",NA,3533,NA,TRUE,FALSE,"log","log",NA,NA,0.926862281,NA,NA,NA,46,0.999
"WesternMeadowlark","WesternMeadowlark","Sturnella neglecta",179039,"Western Meadowlark","Species","Birds",NA,35418,NA,TRUE,TRUE,"log","log",NA,NA,0.939989529,NA,NA,0.906745501,56,0.995
"WesternTanager","WesternTanager","Piranga ludoviciana",99002586,"Western Tanager","Species","Birds",NA,8082,NA,TRUE,FALSE,"log","log",NA,NA,0.811147018,NA,NA,NA,76,0.995
"WesternWoodPewee","WesternWoodPewee","Contopus sordidulus",99002628,"Western Wood-Pewee","Species","Birds",NA,4249,NA,TRUE,TRUE,"log","log",NA,NA,0.674620902,NA,NA,0.766376045,30,0.995
"WilsonsSnipe","WilsonsSnipe","Gallinago delicata",99002630,"Wilson's Snipe","Species","Birds",NA,23961,NA,TRUE,TRUE,"log","log",NA,NA,0.704609375,NA,NA,0.627398662,55,0.995
"WilsonsWarbler","WilsonsWarbler","Cardellina pusilla",99001415,"Wilson's Warbler","Species","Birds",NA,2842,NA,TRUE,FALSE,"log","log",NA,NA,0.818568164,NA,NA,NA,18,0.995
"WinterWren","WinterWren","Troglodytes hiemalis",99001407,"Winter Wren","Species","Birds",NA,12120,NA,TRUE,FALSE,"log","log",NA,NA,0.861149315,NA,NA,NA,90,0.995
"WhitethroatedSparrow","WhitethroatedSparrow","Zonotrichia albicollis",99007649,"White-throated Sparrow","Species","Birds",NA,65272,NA,TRUE,TRUE,"log","log",NA,NA,0.795494056,NA,NA,0.910427882,75,0.995
"WhitewingedCrossbill","WhitewingedCrossbill","Loxia leucoptera",179268,"White-winged Crossbill","Species","Birds",NA,4168,NA,TRUE,FALSE,"log","log",NA,NA,0.772503432,NA,NA,NA,86,0.995
"YellowbelliedFlycatcher","YellowbelliedFlycatcher","Empidonax flaviventris",99002621,"Yellow-bellied Flycatcher","Species","Birds",NA,1510,NA,TRUE,FALSE,"log","log",NA,NA,0.86117852,NA,NA,NA,22,0.995
"YellowbelliedSapsucker","YellowbelliedSapsucker","Sphyrapicus varius",178202,"Yellow-bellied Sapsucker","Species","Birds",NA,10773,NA,TRUE,FALSE,"log","log",NA,NA,0.71996801,NA,NA,NA,32,0.995
"YellowWarbler","YellowWarbler","Setophaga petechia",99001398,"Yellow Warbler","Species","Birds",NA,24895,NA,TRUE,TRUE,"log","log",NA,NA,0.803436825,NA,NA,0.760495607,54,0.995
"YellowheadedBlackbird","YellowheadedBlackbird","Xanthocephalus xanthocephalus",179043,"Yellow-headed Blackbird","Species","Birds",NA,4536,NA,TRUE,TRUE,"log","log",NA,NA,0.941585027,NA,NA,0.739971112,66,0.99
"YellowrumpedWarbler","YellowrumpedWarbler","Setophaga coronata",99001401,"Yellow-rumped Warbler","Species","Birds",NA,51565,NA,TRUE,FALSE,"log","log",NA,NA,0.790781544,NA,NA,NA,97,0.99
